,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,St,St,St,St,St,St,St,St,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,MM,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,KECS,KECS,KECS,KECS,KECS,KECS,KECS,KECS,KECS,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli
Ecoli,0.751281504156,0.455728599097,0.81737125037,0.160989640732,0.503986429704,0.171588749052,0.312562447901,0.32311890498,0.149072895387,0.597209408861,0.407200135411,0.471695197737,0.330293832386,0.20051152825,0.42805241667,0.586901439873,0.505527614065,1.38466315643,0.437990508878,0.945021463204,0.380014641752,-0.0453033960168,0.2982818211,-0.0783615133397,-0.0794165562473,0.0199228161516,-0.0177144891749,-0.0572574128578,0.0696766110171,0.0201531540898,-0.04109078064,0.216867900547,-0.40682815163,-0.109250739442,-0.0752143454975,-0.066278241574,0.0427511085826,0.0780462853788,-0.133369348612,-0.2485606591,0.0755201887919,0.0169122777869,-0.051402605625,-0.142997702806,-0.0943721428985,-0.0521919612256,-0.0295240160466,-0.108022076693,-0.0801633799541,-0.0510670778712,-0.129778124954,-0.0376739755688,-0.167066867472,-0.0734760918321,-0.107339383437,-0.18993355871,-0.0932389462902,-0.0610094702361,-0.0453988691165,-0.26594608654,-0.0126210210736,-0.17236765763,-0.225939656776,-0.0741074429231,-0.0879154364373,0.103321458192,-0.0700408203936,-0.197765515144,-0.112501250126,-0.143051317944,-0.122074497069,-0.133276430844
Ecoli,0.410063784635,0.190643995693,1.52544783581,-0.485896453792,0.654136565335,-0.4522408693,0.0996758183401,1.35337227788,0.475256309734,0.72018061227,0.470825978524,0.176769757369,0.388434642818,0.19934303269,0.778371991758,0.34500487278,0.257673588118,1.05213251349,0.236564446844,0.98778232429,0.718425036496,-0.0426251713502,-0.0362378096368,-0.0306237571047,-0.0729250029071,-0.00757648924596,-0.117058571894,-0.0280264988183,-0.00509176104171,-0.0715360025051,-0.0806798922992,-0.488578894219,-0.315382175678,-0.132865614304,-0.120044860405,-0.0244752604631,0.0460897594516,-0.223839555969,-0.140357586736,-0.348397482556,-0.222128529124,-0.176861458299,0.0427564742073,-0.160137355932,-0.193154574621,-0.0722720707602,-0.123158350561,-0.0311431320294,-0.217180975354,-0.0598263130497,-0.13565034459,-0.37338572307,-0.244393043565,-0.0393396042205,-0.225058959538,-0.206153920904,-0.166587359051,0.00269995184747,-0.160031273341,-0.0166673213088,-0.142818233579,-0.205072053912,-0.107744878215,-0.00732051973966,-0.196959977588,-0.507539678403,-0.292779307979,-0.144350601185,-0.0228558053042,-0.195529235449,-0.0833646308223,-0.321823156261
Ecoli,0.425408379108,0.630665050267,0.812587730669,0.298564889197,0.493363036439,0.0427043497775,0.722157822881,0.723594616975,0.209341134696,0.571679188785,0.760404253086,0.679854320675,0.825492995665,0.653991921265,0.29942510239,0.569933406351,0.405072164249,1.1593918475,0.368264257658,0.764644712764,0.811309477621,-0.116743130295,0.125605515681,-0.0919657825406,-0.0803021921701,-0.0573603142205,-0.0934994920892,-0.031398153311,-0.0856073340285,-0.072943966794,-0.11188008863,-0.275924846964,-0.257273120363,-0.0638021203472,-0.153578123769,-0.104514995433,-0.127635436555,-0.033421011981,-0.0986573874589,-0.1570908178,-0.133783310067,-0.123729225505,-0.0809621902681,-0.194219367876,-0.115804475548,-0.14423492878,-0.0539166587165,-0.200520530071,-0.116058243965,-0.147783304655,-0.163846151043,0.340369916503,-0.135407975162,-0.0714369808904,-0.199525088587,-0.144578854592,-0.137266622776,-0.0992848764559,-0.160343673554,-0.239999175044,-0.215048901569,-0.195138273128,-0.207534607189,-0.198518782489,-0.180603533442,-0.245889042339,-0.139720482735,-0.192810801075,0.264407943962,-0.195159216051,-0.172352639975,-0.126118603928
Ecoli,0.229426810235,0.248310743957,0.552786176283,0.0580402970888,0.576495773121,-0.315718704715,0.182419635317,0.582215452255,0.40833166228,0.315170529123,0.659568783561,0.358668355773,0.484804245257,0.0460676042214,0.657739201689,0.487259695728,0.41561495701,1.19911445162,0.517796450996,0.643539569872,0.733989126881,-0.152818961957,-0.00204822618385,-0.0326917389667,0.00199301263026,-0.0252531946872,-0.0487504879565,0.0120588983407,-0.00261386316583,0.0865870619807,-0.0608140203762,-0.13359494893,-0.47004911828,-0.210034871715,0.0381763218126,0.0267857375483,-0.0115796359501,-0.0328967945443,-0.103435990966,-0.264961393088,0.0804961740729,0.1425465834,-0.00732184943909,-0.107513108602,0.00136846322693,0.0236869363358,-0.0230370160969,-0.125756903862,-0.0294058346417,-0.00538806961171,-0.0730876651517,-0.0594458574572,-0.0415089908649,-0.0191297015615,-0.071650868691,-0.0745001552013,-0.0946090536507,-0.12442848155,-0.0411142872336,-0.0892087931775,0.053472233774,-0.111012524879,-0.0326583867944,-0.0531847979425,-0.151318233327,0.195725076936,-0.0143701376251,-0.117573288905,0.426407608378,-0.0699510089255,-0.0299455868331,-0.0685162458053
Ecoli,0.770450709337,0.392706934284,0.911476441754,0.479980939933,0.819202925027,0.159254120805,0.478507121854,0.772521557258,0.632221379018,0.744389478647,0.855093693759,0.554451906592,0.697342418231,0.124348193326,0.725526951581,0.550357865312,0.420881922622,1.28714220035,0.446435955549,0.654294339733,0.559520069069,-0.0431743737794,0.024454633056,0.00812192766908,0.0197030144919,0.0169035270022,0.00843561990109,0.0205418637975,0.0514857658637,0.00293100041861,0.0233262160811,-0.123863523159,-0.571403607087,-0.127292404223,-0.0127649666267,0.067391229543,0.0673133552221,0.0431172464132,-0.104525364494,-0.0623352541139,0.0352828738774,0.0572856890734,-0.0246151933373,-0.0630580389257,0.028266997347,0.0107947267259,-0.0179487392091,-0.0290044723108,0.021113238658,0.000970528884444,-0.054591094579,-0.418277360605,-0.0359009664152,0.0689612576539,-0.034979097537,-0.0192369391279,-0.0480570314769,-0.0331453480146,-0.0249369881977,-0.137333606172,0.130492592645,-0.0654107307351,0.143995922938,0.000800979130552,-0.0949818826997,-0.0897468021287,-0.00263419645103,-0.0781942279986,0.0535158377073,0.104790012952,0.00570439893521,-0.0477384624017
Ecoli,0.577561846936,0.0623881482421,0.656920030223,-0.0937448395888,0.467813670536,0.513500223832,0.159475648412,0.594032949519,-0.219500906308,0.454618190542,0.426286693215,0.136481698688,0.193512619271,0.0071204890409,0.639285274322,0.464015297424,0.192829158086,0.721446500666,0.433568936531,0.681704714527,0.525524543392,-0.0985980659832,-0.109357939164,-0.0579113772458,-0.0420234868565,-0.0183667814164,-0.0281481583676,0.0296751061576,0.0684101417329,0.0183174072557,-0.487938900976,-0.0554306202765,-0.379592119265,-0.210943426414,-0.00961724783148,0.183666402084,0.176976547649,-0.0315992385165,-0.117713005609,-0.221379158771,0.0494795455391,0.0619946946026,-0.0250970426112,-0.100172994144,-0.0126306822878,0.00858613343213,-0.0517440380625,-0.111245040004,-0.00845189686632,0.0500733405464,-0.0864798164748,-0.473684186193,0.0260546114779,-0.0136752413264,-0.0839184051623,-0.0464801697621,-0.100674047657,-0.10773249324,-0.0581738480423,-0.00842185446857,0.148981226914,-0.0967191819818,0.0715734988021,0.0909385472188,-0.164594812064,-0.0765222642128,0.0490565096487,-0.0929298749789,0.000137990478876,0.0956125886196,0.0326946570045,-0.0130289898642
Ecoli,0.690142220185,0.0339568834782,1.04688353106,0.195361005794,0.551116629337,-0.801439389434,0.297220511558,0.786449573381,-0.0555309659109,0.68982466712,0.682484940359,0.544049313745,0.335586844778,0.05272118946,0.769311005856,0.630592290724,0.703202406901,1.25787274845,0.54709469665,0.94292370465,1.28173091661,0.146053327434,0.330980685619,0.102078315126,0.114971442385,0.179073621291,0.11954929712,0.171607532735,0.175923549794,0.143309728489,0.124479762444,-0.292544689166,-0.358307876448,0.210491530982,0.183720910575,0.161152906914,0.118871776097,0.178986836122,0.151526210347,-0.0898723784814,0.174649703239,0.152218557337,0.151137860126,0.125420992061,0.139478162983,0.127163875447,0.149521639476,0.189974696668,0.119248627818,0.160072880357,0.0892504932966,0.225021227377,0.183630033698,0.168344666888,0.170769757608,0.164039537787,0.180436531249,0.183563451989,0.0944600913087,0.0772117504467,0.215709345961,0.119900170721,0.1640886768,0.173656372286,0.119009394482,0.102680407374,0.223840668272,0.120184860077,0.221606210211,0.0940237163012,0.156634449858,0.18371575112
Ecoli,0.467831897743,0.274666663292,1.49270821183,0.0410137201397,0.745350228496,-0.920518707179,0.0216584532051,1.37280212387,0.680265871584,0.688257796981,1.05455632049,0.458310088009,0.438251576087,0.173012865046,0.510660930205,0.206432618202,0.00522781115144,0.906423046006,0.172371720941,0.844292047454,0.00590980266461,-0.199531571177,-0.152340226354,-0.149854428612,-0.119404314218,-0.0984664455748,-0.231596539869,-0.0873545667816,-0.0953691955457,-0.111350441722,-0.221126224986,-0.329040655354,-0.394567082895,-0.278481302978,-0.202487685189,-0.151185676464,-0.13371361494,-0.351741646969,-0.262462587301,-0.337366612456,-0.218224444981,-0.308520832348,-0.0433887545823,-0.330614138831,-0.207846327732,-0.136878542371,-0.159110251529,-0.21454487611,-0.33839661505,-0.186215741298,-0.255237302701,-0.606669199134,-0.300542386268,-0.217334655665,-0.27976670843,-0.287762529022,-0.219276600117,-0.200662357719,-0.121616994643,-0.394050340166,-0.326305430191,-0.227139486941,-0.254677730704,-0.259322007827,-0.202042612777,-0.480570090188,-0.315819235701,-0.210194959839,-0.124276568078,-0.211568662058,-0.160153940056,-0.248609921615
Ecoli,0.35474028369,0.31240756255,0.600418765132,0.200078219983,0.550821978339,-0.165663999461,0.377094302586,0.928350717029,0.596098139813,0.703594961922,0.738816814268,0.18280044211,0.416394497481,0.229575780105,0.584310184496,-0.510896342933,0.352375745615,1.27302543403,0.212696449891,1.13080628886,0.274346953662,-0.0946814844747,0.0608403161998,-0.102927256214,-0.102789468079,-0.0157153924321,-0.107307643415,-0.0513018207397,-0.0620565477833,-0.055278730963,-0.0836349997354,-0.550097015537,-0.390648301148,-0.111878276858,-0.0277736724343,-0.179916032389,-0.0585178339034,-0.00803674832064,-0.0998629549749,-0.201710587073,-0.0595976062525,0.0499702295231,-0.0799343077157,-0.1817138255,-0.0834810160537,-0.119432913457,-0.0753816721961,-0.0738454296979,-0.113279476918,-0.0937937691364,-0.109108430324,-0.505076100663,-0.147887910306,-0.222724876471,-0.153420539778,-0.144659353641,-0.111027353005,-0.169165356375,-0.146066509962,-0.174418448785,-0.172237377473,-0.191581489946,-0.122334031998,-0.183195122241,-0.135170861534,-0.291581840003,-0.141494384687,-0.116766899598,0.265238361061,-0.367536330105,-0.0250610717131,-0.160970082522
Ecoli,0.638166147446,0.166068861028,0.912527138433,0.37431741625,0.53150451409,0.196076111052,0.561149582499,0.924269814162,0.0360717218187,0.654236691282,0.842287788051,0.707257066279,0.368163576148,0.158285747211,0.508386250914,0.602017644673,0.562779406983,1.23379701794,0.480100174657,0.789143488561,1.05308242394,-0.00255228430837,0.129094991333,-0.0494640316671,-0.0177517541749,0.0197884115089,-0.022993014975,0.0353317184994,0.0932486927629,0.0106957954996,-0.000228276052996,-0.252709897209,-0.137739514362,0.00223390297972,-0.0583056763999,0.0583572061124,0.121142275974,0.135716989966,0.00530888291019,-0.196747025355,0.00820385615864,0.0359522043163,0.0270292950544,-0.0738548934116,0.00541749881739,-0.0150711006437,-0.0429176889546,-0.0587680238615,0.0727084933399,-0.0254892072877,-0.0971861503372,0.00563419805526,0.0321134005526,0.387191966552,-0.0486487416701,0.0187516830909,6.85976471277e-05,-0.00663632175246,-0.079427285418,-0.107330888902,0.130435279609,-0.043291802403,0.0812008367831,0.00639689616275,-0.0695104982897,-0.160957008755,0.0826443051974,-0.0813147680661,-0.0139822881797,-0.0515760290901,0.0325759935115,-0.00839840810847
