,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,St,St,St,St,St,St,St,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Pm,Pm,Pm,Pm,Pm,Pm,KECS,KECS,KECS,KECS,KECS,KECS,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli
Ecoli,0.0925925925926,0.0555555555556,0.0925925925926,0.0185185185185,0.0925925925926,0.222222222222,0.0925925925926,0.0925925925926,0.0925925925926,0.0925925925926,0.0925925925926,0.185185185185,0.0925925925926,0.0555555555556,0.277777777778,0.0925925925926,0.240740740741,0.111111111111,0.240740740741,0.222222222222,0.111111111111,0.240740740741,0.240740740741,0.185185185185,0.240740740741,0.240740740741,0.222222222222,0.333333333333,0.240740740741,0.351851851852,0.240740740741,0.0740740740741,0.259259259259,0.0740740740741,0.222222222222,0.222222222222,0.222222222222,0.296296296296,0.314814814815,0.314814814815,0.314814814815,0.296296296296,0.314814814815,0.111111111111,0.148148148148,0.0185185185185,0.0,0.037037037037,0.0185185185185,0.277777777778,0.0185185185185,0.0185185185185,0.0925925925926,0.0185185185185,0.296296296296,0.0555555555556,0.0185185185185,0.0185185185185,0.0185185185185,0.0,0.314814814815,0.0,0.0185185185185
Ecoli,0.0886075949367,0.0632911392405,0.0886075949367,0.164556962025,0.0886075949367,0.101265822785,0.0886075949367,0.0886075949367,0.0886075949367,0.0886075949367,0.0886075949367,0.113924050633,0.0886075949367,0.0253164556962,0.20253164557,0.0886075949367,0.113924050633,0.0759493670886,0.101265822785,0.113924050633,0.0632911392405,0.113924050633,0.101265822785,0.0759493670886,0.0632911392405,0.0632911392405,0.0886075949367,0.151898734177,0.0632911392405,0.139240506329,0.0632911392405,0.126582278481,0.151898734177,0.126582278481,0.0379746835443,0.0379746835443,0.0379746835443,0.151898734177,0.20253164557,0.20253164557,0.189873417722,0.20253164557,0.139240506329,0.0886075949367,0.139240506329,0.113924050633,0.164556962025,0.164556962025,0.164556962025,0.0,0.151898734177,0.164556962025,0.113924050633,0.151898734177,0.0,0.151898734177,0.164556962025,0.164556962025,0.164556962025,0.164556962025,0.164556962025,0.164556962025,0.164556962025
Ecoli,0.0655737704918,0.0655737704918,0.0655737704918,0.0491803278689,0.0655737704918,0.245901639344,0.0655737704918,0.0655737704918,0.0655737704918,0.0655737704918,0.0655737704918,0.180327868852,0.0655737704918,0.0819672131148,0.327868852459,0.0655737704918,0.262295081967,0.114754098361,0.245901639344,0.245901639344,0.114754098361,0.27868852459,0.245901639344,0.229508196721,0.245901639344,0.245901639344,0.27868852459,0.377049180328,0.245901639344,0.377049180328,0.245901639344,0.0819672131148,0.295081967213,0.0819672131148,0.245901639344,0.245901639344,0.245901639344,0.327868852459,0.360655737705,0.360655737705,0.344262295082,0.344262295082,0.327868852459,0.180327868852,0.213114754098,0.0819672131148,0.0819672131148,0.0655737704918,0.0983606557377,0.262295081967,0.0327868852459,0.0655737704918,0.0983606557377,0.0491803278689,0.27868852459,0.0,0.0655737704918,0.0491803278689,0.0491803278689,0.0983606557377,0.327868852459,0.0819672131148,0.0655737704918
Ecoli,0.0833333333333,0.05,0.0833333333333,0.0,0.0833333333333,0.216666666667,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.166666666667,0.0833333333333,0.05,0.283333333333,0.0833333333333,0.233333333333,0.0833333333333,0.233333333333,0.216666666667,0.116666666667,0.25,0.233333333333,0.166666666667,0.233333333333,0.233333333333,0.2,0.333333333333,0.233333333333,0.333333333333,0.233333333333,0.0833333333333,0.266666666667,0.0833333333333,0.216666666667,0.216666666667,0.216666666667,0.3,0.316666666667,0.316666666667,0.316666666667,0.3,0.3,0.1,0.15,0.0333333333333,0.0333333333333,0.0333333333333,0.05,0.266666666667,0.0,0.0166666666667,0.0833333333333,0.0166666666667,0.283333333333,0.0333333333333,0.0166666666667,0.0,0.0,0.05,0.3,0.0333333333333,0.0166666666667
Ecoli,0.0862068965517,0.0344827586207,0.0862068965517,0.0,0.0862068965517,0.206896551724,0.0862068965517,0.0862068965517,0.0862068965517,0.0862068965517,0.0862068965517,0.155172413793,0.0862068965517,0.051724137931,0.275862068966,0.0862068965517,0.241379310345,0.0862068965517,0.241379310345,0.224137931034,0.120689655172,0.241379310345,0.241379310345,0.155172413793,0.224137931034,0.224137931034,0.189655172414,0.327586206897,0.224137931034,0.327586206897,0.224137931034,0.0862068965517,0.258620689655,0.0862068965517,0.206896551724,0.206896551724,0.206896551724,0.293103448276,0.310344827586,0.310344827586,0.310344827586,0.293103448276,0.293103448276,0.103448275862,0.137931034483,0.0172413793103,0.0172413793103,0.0344827586207,0.0344827586207,0.258620689655,0.0,0.0,0.0689655172414,0.0172413793103,0.275862068966,0.0344827586207,0.0,0.0,0.0,0.0344827586207,0.293103448276,0.0172413793103,0.0
Ecoli,0.0645161290323,0.0322580645161,0.0645161290323,0.0,0.0645161290323,0.177419354839,0.0645161290323,0.0645161290323,0.0645161290323,0.0645161290323,0.0645161290323,0.161290322581,0.0645161290323,0.0483870967742,0.241935483871,0.0645161290323,0.209677419355,0.0806451612903,0.209677419355,0.193548387097,0.112903225806,0.209677419355,0.209677419355,0.129032258065,0.193548387097,0.193548387097,0.161290322581,0.274193548387,0.193548387097,0.290322580645,0.193548387097,0.0483870967742,0.225806451613,0.0483870967742,0.177419354839,0.177419354839,0.177419354839,0.225806451613,0.258064516129,0.258064516129,0.258064516129,0.258064516129,0.258064516129,0.0967741935484,0.129032258065,0.0,0.0,0.0161290322581,0.0,0.241935483871,0.0,0.0,0.0483870967742,0.0,0.258064516129,0.0322580645161,0.0,0.0,0.0,0.0161290322581,0.274193548387,0.0,0.0
Ecoli,0.0819672131148,0.0655737704918,0.0819672131148,0.016393442623,0.0819672131148,0.213114754098,0.0819672131148,0.0819672131148,0.0819672131148,0.0819672131148,0.0819672131148,0.16393442623,0.0819672131148,0.0655737704918,0.262295081967,0.0819672131148,0.229508196721,0.0983606557377,0.229508196721,0.213114754098,0.114754098361,0.229508196721,0.229508196721,0.16393442623,0.229508196721,0.229508196721,0.196721311475,0.311475409836,0.229508196721,0.327868852459,0.229508196721,0.0655737704918,0.245901639344,0.0655737704918,0.213114754098,0.213114754098,0.213114754098,0.27868852459,0.311475409836,0.311475409836,0.311475409836,0.27868852459,0.311475409836,0.0983606557377,0.131147540984,0.016393442623,0.0,0.0327868852459,0.016393442623,0.27868852459,0.016393442623,0.016393442623,0.0819672131148,0.016393442623,0.295081967213,0.0491803278689,0.016393442623,0.016393442623,0.016393442623,0.016393442623,0.311475409836,0.0,0.016393442623
Ecoli,0.0847457627119,0.0508474576271,0.0847457627119,0.0169491525424,0.0847457627119,0.203389830508,0.0847457627119,0.0847457627119,0.0847457627119,0.0847457627119,0.0847457627119,0.169491525424,0.0847457627119,0.0508474576271,0.254237288136,0.0847457627119,0.237288135593,0.101694915254,0.237288135593,0.220338983051,0.118644067797,0.237288135593,0.237288135593,0.169491525424,0.237288135593,0.237288135593,0.203389830508,0.305084745763,0.237288135593,0.322033898305,0.237288135593,0.0508474576271,0.237288135593,0.0508474576271,0.203389830508,0.203389830508,0.203389830508,0.271186440678,0.28813559322,0.28813559322,0.28813559322,0.271186440678,0.28813559322,0.101694915254,0.135593220339,0.0169491525424,0.0,0.0338983050847,0.0,0.254237288136,0.0169491525424,0.0169491525424,0.0847457627119,0.0169491525424,0.271186440678,0.0508474576271,0.0169491525424,0.0169491525424,0.0169491525424,0.0169491525424,0.28813559322,0.0,0.0169491525424
Ecoli,0.0833333333333,0.05,0.0833333333333,0.0166666666667,0.0833333333333,0.2,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.166666666667,0.0833333333333,0.05,0.266666666667,0.0833333333333,0.233333333333,0.1,0.233333333333,0.216666666667,0.116666666667,0.233333333333,0.233333333333,0.166666666667,0.233333333333,0.233333333333,0.2,0.316666666667,0.233333333333,0.333333333333,0.233333333333,0.0666666666667,0.25,0.0666666666667,0.216666666667,0.216666666667,0.216666666667,0.283333333333,0.3,0.3,0.3,0.283333333333,0.3,0.1,0.133333333333,0.0166666666667,0.0,0.0333333333333,0.0166666666667,0.266666666667,0.0166666666667,0.0166666666667,0.0833333333333,0.0166666666667,0.283333333333,0.05,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.3,0.0,0.0166666666667
Ecoli,0.0727272727273,0.0545454545455,0.0727272727273,0.0181818181818,0.0727272727273,0.218181818182,0.0727272727273,0.0727272727273,0.0727272727273,0.0727272727273,0.0727272727273,0.181818181818,0.0727272727273,0.0545454545455,0.309090909091,0.0727272727273,0.236363636364,0.0909090909091,0.236363636364,0.218181818182,0.127272727273,0.254545454545,0.236363636364,0.181818181818,0.254545454545,0.254545454545,0.218181818182,0.345454545455,0.254545454545,0.363636363636,0.254545454545,0.0727272727273,0.272727272727,0.0727272727273,0.236363636364,0.236363636364,0.236363636364,0.309090909091,0.345454545455,0.345454545455,0.327272727273,0.327272727273,0.327272727273,0.109090909091,0.163636363636,0.0363636363636,0.0363636363636,0.0181818181818,0.0545454545455,0.290909090909,0.0,0.0363636363636,0.109090909091,0.0,0.309090909091,0.0363636363636,0.0363636363636,0.0181818181818,0.0181818181818,0.0545454545455,0.327272727273,0.0363636363636,0.0363636363636
