,Ps.0,Ent.1,Ps.2,Ecoli.3,Ent.4,Ent.5,St.6,Ecoli.7,Pm.8,KECS.9,Ecoli.10,Ent.11,Ecoli.12,Ecoli.13,Ent.14,MM,St.16,Ecoli.17,Pm.18,Ecoli.19,Ps.20,Ecoli.21,Ecoli.22,Ecoli.23,Ecoli.24,Ecoli.25,Pm.26,Ps.27,Ent.28,Pm.29,Pm.30,Ecoli.31,Ecoli.32,St.33,Ent.34,Ent.35,Ent.36,Ecoli.37,Ps.38,Ent.39,St.40,Pm.41,Ps.42,Ent.43,Ent.44,Ps.45,KECS.46,Ent.47,KECS.48,Ent.49,Ent.50,Ecoli.51,St.52,St.53,Pm.54,Ent.55,Ent.56,Ecoli.57,St.58,Ps.59,Ecoli.60,Ecoli.61,Pm.62,KECS,KECS,Ecoli.65,KECS
Ecoli,0.472530864198,0.708182476466,0.48433048433,0.713180901143,0.686260623229,0.696022727273,0.678861788618,0.662682602922,0.714804722979,0.579151732378,1,0.671021377672,0.657565789474,0.569660425262,0.684941013185,0.686232196806,0.688445667125,0.705664194201,0.697967479675,0.55988502076,0.475282906492,0.702898550725,0.706322229776,0.653068220775,0.648706240487,0.696464989803,0.695579649708,0.488053520229,0.684210526316,0.671140939597,0.702074688797,0.693559322034,0.638143353331,0.704697986577,0.693724420191,0.688904494382,0.69616519174,0.643403123961,0.484504449218,0.692141312185,0.696581196581,0.704363312556,0.500803083842,0.55860579889,0.687902648533,0.535574412533,0.597941265516,0.69696969697,0.530120481928,0.693737095664,0.70752688172,0.686230248307,0.689189189189,0.689248895434,0.703703703704,0.702898550725,0.679547596607,0.693039049236,0.69050802139,0.510426692332,0.613237139272,0.567053513862,0.701119724376,0.67700606878,0.608498216023,0.575318655852,0.706617647059
Ent,0.27962962963,0.552498189718,0.300411522634,0.389374579691,0.537535410765,0.553977272727,0.562330623306,0.387118193891,0.553587647593,0.330346475508,0.388583218707,1,0.361184210526,0.32338940019,0.564191533657,0.495036685369,0.574965612105,0.397505057316,0.421138211382,0.307888853401,0.301072066706,0.407522429262,0.394289598912,0.373328762427,0.379604261796,0.382732834806,0.447039199333,0.306467027716,0.576063446287,0.447986577181,0.446887966805,0.397627118644,0.372908114935,0.574496644295,0.574351978172,0.575842696629,0.582595870206,0.372549019608,0.287511506597,0.573900504686,0.571937321937,0.484416740873,0.321554770318,0.323257248612,0.572655690766,0.291122715405,0.349076597033,0.573593073593,0.309330344634,0.527185134205,0.554838709677,0.387939374395,0.575075075075,0.561119293078,0.400823045267,0.407522429262,0.580584354383,0.405432937182,0.570187165775,0.316008982996,0.35382685069,0.316892327531,0.4556416882,0.396156439649,0.356146610444,0.341251448436,0.412867647059
Ecoli,0.491049382716,0.646632874728,0.497625830959,0.68123739072,0.646600566572,0.642045454545,0.724932249322,0.689243027888,0.669391462307,0.60513739546,0.687414030261,0.652019002375,1,0.613773405268,0.652324774462,0.664220975399,0.649931224209,0.676331759946,0.690650406504,0.598530820824,0.4877903514,0.684955141477,0.673691366417,0.673980116558,0.658751902588,0.700203942896,0.673477898249,0.508760751832,0.644556596972,0.686241610738,0.663900414938,0.695254237288,0.680138932744,0.638926174497,0.653478854025,0.653792134831,0.643805309735,0.701894317049,0.5059834305,0.620043258832,0.651709401709,0.652270703473,0.508512688725,0.608883405305,0.634931997137,0.539817232376,0.632152588556,0.667388167388,0.551414962174,0.653819683414,0.658064516129,0.691067397614,0.623123123123,0.654639175258,0.67366255144,0.684955141477,0.681432610745,0.685908319185,0.656417112299,0.517163939686,0.661229611041,0.603481624758,0.669681309216,0.681726230614,0.643853389556,0.605156431054,0.685294117647
Ecoli,0.512345679012,0.637219406227,0.526432415321,0.604909213181,0.606940509915,0.605113636364,0.69647696477,0.62583001328,0.614441416894,0.619772998805,0.617262723521,0.605106888361,0.636184210526,1,0.59333795975,0.61199827363,0.62242090784,0.633175994606,0.60487804878,0.618971574577,0.498213222156,0.61801242236,0.615227736234,0.620157696263,0.633789954338,0.633582596873,0.603002502085,0.517680790061,0.594087959625,0.604026845638,0.626141078838,0.615593220339,0.633407009788,0.585906040268,0.632332878581,0.613764044944,0.632743362832,0.620139581256,0.517336606321,0.607786589762,0.590455840456,0.620658949243,0.529071635079,0.61227637261,0.634216177523,0.587793733681,0.632152588556,0.650072150072,0.560941440179,0.593943565038,0.631541218638,0.631409222831,0.597597597598,0.59499263623,0.607407407407,0.61801242236,0.604147031103,0.633616298812,0.605614973262,0.547962784729,0.624215809285,0.645712443585,0.600344530577,0.61834120027,0.624716185534,0.615295480881,0.625
Ent,0.241049382716,0.541636495293,0.246597024375,0.337928715535,0.551699716714,0.527698863636,0.525745257453,0.325697211155,0.471843778383,0.289426523297,0.339408528198,0.482779097387,0.309210526316,0.271342430974,1,0.425118687959,0.534387895461,0.342211732974,0.371138211382,0.264771638454,0.258189398451,0.357832988268,0.329027872196,0.327391155297,0.318721461187,0.327328348063,0.390742285238,0.272698311564,0.541456380678,0.370805369128,0.387136929461,0.329830508475,0.325544679507,0.524832214765,0.531377899045,0.544241573034,0.547935103245,0.31704885344,0.252224608776,0.532083633742,0.544871794872,0.426536064114,0.279794410536,0.270512029611,0.516105941303,0.257832898172,0.293369663942,0.542568542569,0.258335668254,0.509979353063,0.539068100358,0.325056433409,0.499249249249,0.533136966127,0.330452674897,0.357832988268,0.555136663525,0.342614601019,0.528743315508,0.271414821944,0.306775407779,0.279174725983,0.394056847545,0.342886041807,0.303924748621,0.297508690614,0.355882352941
MM,0.374691358025,0.671976828385,0.39284583729,0.551445864156,0.674220963173,0.688210227273,0.731707317073,0.537516600266,0.667120799273,0.456989247312,0.546767537827,0.681116389549,0.50625,0.450015867978,0.683553088133,1,0.703576341128,0.556979096426,0.578861788618,0.423506866816,0.399047051817,0.566252587992,0.545207341944,0.526568392184,0.525114155251,0.516315431679,0.639282735613,0.413826059255,0.687815428983,0.582214765101,0.605394190871,0.548813559322,0.50994632144,0.673154362416,0.666439290587,0.693117977528,0.702064896755,0.497839813892,0.379564283523,0.698630136986,0.697293447293,0.682101513802,0.399614519756,0.451881554596,0.649964209019,0.417101827676,0.48016954284,0.688311688312,0.417764079574,0.676531314522,0.713261648746,0.527894227668,0.707957957958,0.692194403535,0.547736625514,0.566252587992,0.701225259189,0.551443123939,0.682486631016,0.413538658967,0.47365119197,0.436814958092,0.647286821705,0.541469993257,0.496594226403,0.460602549247,0.573529411765
St,0.248148148148,0.535119478639,0.267489711934,0.332548755884,0.580028328612,0.589488636364,0.685636856369,0.332005312085,0.475930971844,0.294504181601,0.344222833563,0.496437054632,0.310855263158,0.287210409394,0.53920888272,0.44151920587,1,0.353674983142,0.356504065041,0.254870648355,0.251935675998,0.35955831608,0.338205302515,0.330133699006,0.332420091324,0.321889870836,0.392410341952,0.275884039503,0.592645998558,0.364093959732,0.394190871369,0.333559322034,0.310388380171,0.553020134228,0.532742155525,0.560393258427,0.603982300885,0.322366234629,0.270328321571,0.589762076424,0.595441595442,0.424309884239,0.285255380662,0.265576804442,0.516105941303,0.267950391645,0.310021192855,0.611832611833,0.258615858784,0.510667584308,0.603584229391,0.326991293131,0.628378378378,0.629602356406,0.360082304527,0.35955831608,0.617342130066,0.344991511036,0.555481283422,0.284247674046,0.290150564617,0.283687943262,0.403100775194,0.362778152394,0.310411936426,0.301564310545,0.361397058824
KECS,0.484567901235,0.716871832006,0.499525166192,0.713180901143,0.729461756374,0.6953125,0.754742547425,0.684926958831,0.707538601272,0.596176821983,0.719738651994,0.700118764846,0.659868421053,0.596001269438,0.704371963914,0.712990936556,0.721458046768,1,0.713008130081,0.572341105078,0.481238832638,0.721187025535,0.728416043508,0.683921837504,0.670624048706,0.701563562203,0.719349457882,0.508123606244,0.704397981255,0.776845637584,0.71244813278,0.713559322034,0.663403852226,0.695302013423,0.729877216917,0.697331460674,0.713864306785,0.663010967099,0.488800245474,0.700793078587,0.693732193732,0.704363312556,0.527786700932,0.587291795188,0.736578382248,0.52317232376,0.621556161066,0.722222222222,0.537405435696,0.717825189264,0.716845878136,0.69590454692,0.693693693694,0.701030927835,0.713580246914,0.721187025535,0.701225259189,0.697453310696,0.717245989305,0.51523901187,0.633939774153,0.587040618956,0.714039621016,0.687457855698,0.621148232241,0.591251448436,0.721691176471
Pm,0.406790123457,0.564808110065,0.39284583729,0.60322797579,0.612606232295,0.595880681818,0.621951219512,0.570717131474,0.615349682107,0.504480286738,0.590440165062,0.615201900238,0.558881578947,0.472231037766,0.63358778626,0.614587829089,0.603163686382,0.591368846932,1,0.477483232194,0.415425848719,0.597998619738,0.587355540449,0.548508741858,0.542770167428,0.568320870156,0.6317764804,0.436126154826,0.622206200433,0.610738255034,0.621161825726,0.582711864407,0.551626144616,0.577852348993,0.575716234652,0.603230337079,0.595132743363,0.539714190761,0.406566431421,0.609949531363,0.623931623932,0.626001780944,0.423385801478,0.488278840222,0.590551181102,0.427219321149,0.507114744172,0.588023088023,0.445502942001,0.624225739849,0.592114695341,0.567558851983,0.565315315315,0.597201767305,0.611111111111,0.597998619738,0.628652214892,0.591850594228,0.604278074866,0.44433750401,0.509723964868,0.481624758221,0.614556416882,0.560350640593,0.532273759325,0.497682502897,0.595588235294
Ecoli,0.499382716049,0.606082548878,0.534346312124,0.606590450572,0.546033994334,0.573153409091,0.639566395664,0.612549800797,0.594005449591,0.624253285544,0.602819807428,0.572446555819,0.616447368421,0.615042843542,0.575294934074,0.572291756582,0.548830811554,0.604180714767,0.607723577236,1,0.502084574151,0.61663216011,0.604690686608,0.614672608845,0.604261796043,0.605710401088,0.582151793161,0.50207072316,0.571016582552,0.593959731544,0.566390041494,0.596949152542,0.619829491632,0.555704697987,0.56548431105,0.57654494382,0.55604719764,0.614822200066,0.529917152501,0.542177361211,0.568376068376,0.572128227961,0.528107934468,0.60734114744,0.560486757337,0.57180156658,0.607326672722,0.55266955267,0.575231157187,0.545767377839,0.576344086022,0.61625282167,0.536786786787,0.564064801178,0.594238683128,0.61663216011,0.585296889727,0.616977928693,0.547459893048,0.544112929098,0.618569636136,0.664087685364,0.581826012059,0.595414699933,0.630554654557,0.609501738123,0.611029411765
